Kód,Obec,Okrsek,Voliči v Seznamu,Vydané Obálky,PLatné Hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
529672, Příbram,x,134,105,103,12,0,0,10,0,13,11,2,0,1,0,1,11,0,0,0,32,0,1,3,0,0,0,1,5,0
564559, Příbram,x,167,108,108,12,0,0,9,0,5,22,1,0,0,0,0,7,0,0,5,37,0,0,4,0,0,0,1,5,0
539953, Příbram,1,566,396,394,40,0,2,24,0,24,28,4,3,7,0,1,38,1,0,18,145,0,1,17,0,3,0,0,38,0
539953, Příbram,2,851,529,526,53,1,0,26,0,21,47,8,3,6,2,0,50,0,1,32,203,1,1,13,1,4,2,0,50,1
539970, Příbram,x,302,202,202,18,1,0,20,0,13,13,3,0,0,0,0,23,0,0,9,65,0,0,15,0,4,0,1,16,1
539988, Příbram,x,252,167,166,29,0,0,11,0,11,15,1,0,1,0,0,11,0,0,9,40,0,0,9,0,7,0,0,22,0
540013, Příbram,1,534,321,321,44,0,0,24,0,26,31,3,2,2,1,0,31,1,0,12,81,0,1,13,0,1,1,0,45,2
540013, Příbram,2,956,597,593,43,0,0,48,2,45,57,6,4,11,1,1,50,0,0,28,198,0,1,25,0,6,0,2,60,5
540013, Příbram,3,740,354,354,29,1,0,53,3,16,45,1,1,2,1,0,33,0,0,13,110,0,1,11,0,1,2,1,29,1
540013, Příbram,4,611,340,337,26,0,0,32,0,24,15,5,2,2,0,0,39,0,1,14,115,1,1,9,0,5,0,4,40,2
540021, Příbram,x,283,206,206,22,0,0,21,0,15,17,4,3,3,0,0,24,0,0,14,66,0,0,5,0,1,1,0,10,0
564664, Příbram,x,69,54,54,2,0,0,3,0,1,5,1,0,1,0,0,4,1,0,3,23,0,0,1,0,0,0,1,8,0
564419, Příbram,x,134,99,99,7,0,0,7,0,6,9,1,0,1,0,0,10,0,0,1,46,0,0,5,0,0,0,1,5,0
540072, Příbram,x,326,206,204,15,0,0,14,0,11,30,6,1,3,0,0,15,1,0,14,68,0,1,4,0,0,1,0,20,0
540081, Příbram,x,245,162,161,10,0,0,9,0,21,4,1,2,1,3,0,31,0,0,8,58,0,0,1,0,0,1,0,10,1
540099, Příbram,x,344,231,230,30,0,0,20,0,19,21,7,3,1,0,1,43,0,0,6,54,0,1,5,0,3,0,1,15,0
513504, Příbram,x,308,205,205,30,1,0,18,1,9,6,0,4,5,0,0,24,0,0,8,63,0,1,13,0,2,0,1,19,0
540111, Příbram,1,1 320,900,897,119,5,0,54,1,41,63,16,6,18,0,1,131,0,0,71,256,2,1,37,0,5,0,3,66,1
540111, Příbram,2,975,640,633,93,1,0,41,0,28,28,11,4,12,2,1,110,0,1,38,167,0,1,33,0,0,1,1,59,1
540111, Příbram,3,1 155,785,771,110,0,0,75,1,42,52,17,4,14,0,1,111,0,0,64,180,1,0,33,0,3,3,1,58,1
540111, Příbram,4,1 186,787,780,115,1,1,48,1,37,48,19,4,15,2,0,119,0,0,61,204,0,1,20,0,7,2,2,70,3
540111, Příbram,5,1 056,798,798,129,2,0,62,0,41,44,15,8,14,1,0,118,0,1,47,211,1,0,36,1,6,1,1,58,1
540111, Příbram,6,1 302,649,639,97,0,0,45,0,43,45,5,5,10,1,1,98,0,1,24,170,0,7,23,0,6,3,0,52,3
540129, Příbram,1,262,192,192,15,1,0,22,0,18,22,2,2,4,0,0,12,0,0,2,74,0,0,8,0,0,1,0,9,0
